calls,max_ms,mean_ms,query_sample,queryid,rows,shared_blks_hit,shared_blks_read,temp_blks_read,temp_blks_written,total_ms,wal_bytes
170,3.99,2.06,"with recursive
pks_fks as (
  -- pk + fk referencing col
  select
    contype::text as contype,
    conname,
    array_length(conkey, $3) as ncol,
    conrelid as resorigtbl,
    col as resorigcol,
    ord
  from pg_constraint
  left join lateral unnest(conkey) with ordinality as _(col, ord) on $4
  where contype IN ($5, $6)
  union
  -- fk referenced col
  select
    concat(contype, $7) as contype,
    conname,
    array_length(confkey, $8) as ncol,
    confrelid,
    col,
    ord
  from pg_con",-6019717523838313193,0,27934,18,0,0,349.46,120
170,2.71,1.96,"with
role_setting as (
  select r.rolname, unnest(r.rolconfig) as setting
  from pg_auth_members m
  join pg_roles r on r.oid = m.roleid
  where member = current_user::regrole::oid
),
kv_settings AS (
  SELECT
    rolname,
    substr(setting, $1, strpos(setting, $2) - $3) as key,
    lower(substr(setting, strpos(setting, $4) + $5)) as value
  FROM role_setting
),
iso_setting AS (
  SELECT rolname, value
  FROM kv_settings
  WHERE key = $6
)
select
  kv.rolname,
  i.value as iso_lvl,
  coalesce(a",7899190504599315261,340,89417,3,0,0,333.48,0
170,3.76,1.57,"WITH
pks_uniques_cols AS (
  SELECT
    conrelid,
    array_agg(key order by key) as cols
  FROM pg_constraint,
  LATERAL unnest(conkey) AS _(key)
  WHERE
    contype IN ($1, $2)
    AND connamespace <> $3::regnamespace
  GROUP BY oid, conrelid
)
SELECT
  ns1.nspname AS table_schema,
  tab.relname AS table_name,
  ns2.nspname AS foreign_table_schema,
  other.relname AS foreign_table_name,
  traint.conrelid = traint.confrelid AS is_self,
  traint.conname  AS constraint_name,
  column_info.cols_an",4272184973515172242,7215,123704,0,0,0,267.47,82
170,2.27,1.57,"with
all_relations as (
  select reltype
  from pg_class
  where relkind in ($1,$2,$3,$4,$5)
),
computed_rels as (
  select
    (parse_ident(p.pronamespace::regnamespace::text))[$6] as schema,
    p.proname::text                  as name,
    arg_schema.nspname::text         as rel_table_schema,
    arg_name.typname::text           as rel_table_name,
    ret_schema.nspname::text         as rel_ftable_schema,
    ret_name.typname::text           as rel_ftable_name,
    not p.proretset or p.prorow",-5945916706620701072,0,28735,2,0,0,266.51,1084
50,2.01,1.47,"insert into public.table_inventory (id, restaurant_id, table_number, capacity, section, status, position, notes, zone_id, category, seating_type, mobility, active, min_party_size, max_party_size) values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15), ($16, $17, $18, $19, $20, $21, $22, $23, $24, $25, $26, $27, $28, $29, $30), ($31, $32, $33, $34, $35, $36, $37, $38, $39, $40, $41, $42, $43, $44, $45), ($46, $47, $48, $49, $50, $51, $52, $53, $54, $55, $56, $57, $58, $59, $60)",4017863902441617129,1300,29436,0,0,0,73.52,983147
13,5.84,0.92,"INSERT INTO ""refresh_tokens"" (""created_at"", ""instance_id"", ""parent"", ""revoked"", ""session_id"", ""token"", ""updated_at"", ""user_id"") VALUES ($1, $2, $3, $4, $5, $6, $7, $8) returning id",-8789528950430113317,13,1095,8,0,0,11.97,23349
11,3.98,0.78,"INSERT INTO ""sessions"" (""aal"", ""created_at"", ""factor_id"", ""id"", ""ip"", ""not_after"", ""oauth_client_id"", ""refresh_token_counter"", ""refresh_token_hmac_key"", ""refreshed_at"", ""scopes"", ""tag"", ""updated_at"", ""user_agent"", ""user_id"") VALUES ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15)",9139383688474518245,11,730,5,0,0,8.55,28722
11,1.58,0.71,"WITH pgrst_source AS (INSERT INTO ""public"".""profiles""(""email"", ""has_access"", ""id"", ""name"") SELECT ""pgrst_body"".""email"", ""pgrst_body"".""has_access"", ""pgrst_body"".""id"", ""pgrst_body"".""name"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""email"", ""has_access"", ""id"", ""name"" FROM json_to_record(pgrst_payload.json_data) AS _(""email"" text, ""has_access"" boolean, ""id"" uuid, ""name"" text) ) pgrst_body WHERE set_config($2, (coalesce(nullif(current_setting($3, $4), $5)::int, $6) + $7)::text, $8) ",7951875418316538777,11,1500,0,0,0,7.81,13100
15,1.62,0.57,"WITH pgrst_source AS ( SELECT ""public"".""restaurant_memberships"".""role"" FROM ""public"".""restaurant_memberships"" WHERE  ""public"".""restaurant_memberships"".""user_id"" = $1   LIMIT $2 OFFSET $3 )  SELECT $4::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $5) AS body, nullif(current_setting($6, $7), $8) AS response_headers, nullif(current_setting($9, $10), $11) AS response_status, $12 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _po",-3374469464321247598,15,941,0,0,0,8.54,0
12,1.10,0.57,"select column_name, is_nullable, data_type, column_default
      from information_schema.columns
      where table_schema=$2 and table_name=$1
      order by ordinal_position",-7828795705104473259,159,3110,0,0,0,6.79,0
