queryid,calls,total_ms,mean_ms,max_ms,rows,shared_blks_hit,shared_blks_read,temp_blks_read,temp_blks_written,wal_bytes,query_sample
-5285135473811904703,1,76.31,76.31,76.31,0,19222,0,0,0,409303,"TRUNCATE TABLE public.table_adjacencies, public.table_merge_graph, public.table_inventory, public.allowed_capacities, public.zones, public.restaurant_capacity_rules, public.restaurant_turn_bands, public.restaurant_operating_hours, public.re"
4868794970434878014,1,75.57,75.57,75.57,1,0,0,0,0,24,"SELECT case when pg_is_in_recovery() then $2 else (pg_walfile_name_offset(lsn)).file_name end, lsn::text, pg_is_in_recovery() FROM pg_backup_start($1, $3) lsn"
-2954016512352317349,1,68.20,68.20,68.20,13,239,2,0,0,3540,"COPY public.allowed_capacities (restaurant_id, capacity, created_at, updated_at) FROM stdin"
-1797792157264076365,13,62.37,4.80,22.70,0,7094,3,0,0,210272,CREATE OR REPLACE FUNCTION pg_temp.count_estimate( query text ) RETURNS integer LANGUAGE plpgsql AS $$ DECLARE plan jsonb; BEGIN EXECUTE 'EXPLAIN (FORMAT JSON)' || query INTO plan; RETURN plan->0->'Plan'->'Plan Rows'; END; $$
-1250769671524502037,2,60.32,30.16,30.32,0,237,0,0,0,0,"COPY public.merge_rules (id, from_a, from_b, to_capacity, enabled, require_same_zone, require_adjacency, cross_category_merge, created_at, updated_at) FROM stdin"
7459086053737063230,160,56.13,0.35,0.62,0,5466,0,0,0,186,"with all_relations as ( select reltype from pg_class where relkind in ($2,$3,$4,$5,$6) union select oid from pg_type where typname = $7 ), media_types as ( SELECT t.oid, lower(t.typname) as typname, t.typnamespace, case t.typname when $8 th"
8244733434978723160,2,44.89,22.44,29.64,59,7828,0,0,0,0,"with tables as ( SELECT c.oid :: int8 AS id, nc.nspname AS schema, c.relname AS name, c.relrowsecurity AS rls_enabled, c.relforcerowsecurity AS rls_forced, CASE WHEN c.relreplident = $1 THEN $2 WHEN c.relreplident = $3 THEN $4 WHEN c.relrep"
8155291966402198186,2,43.73,21.87,25.98,2,0,0,0,0,100,"select case when not exists ( select $2 from pg_replication_slots where slot_name = $1 ) then ( select $3 from pg_create_logical_replication_slot($1, $4, $5) ) else $6 end"
8142655228673104563,1,40.67,40.67,40.67,0,1059,37,0,0,8747,"DO $$ BEGIN IF NOT EXISTS(SELECT * FROM information_schema.columns WHERE table_schema = 'auth' and table_name='users' and column_name='email_confirmed_at') THEN ALTER TABLE ""auth"".""users"" RENAME COLUMN ""confirmed_at"" TO ""email_confirmed_at"""
-1720764314978235132,3,37.48,12.49,12.89,260,18754,0,0,0,0,"SELECT tbl.schemaname, tbl.tablename, tbl.quoted_name, tbl.is_table, json_agg(a) as columns FROM ( SELECT n.nspname as schemaname, c.relname as tablename, (quote_ident(n.nspname) || $1 || quote_ident(c.relname)) as quoted_name, $2 as is_tab"
